feature,mean_importance
n11FRing,1.6057369324300187e-08
n12FHRing,2.1121524192667384e-08
ATSC4i,2.607005797879494e-08
nG12ARing,2.780986474880051e-08
NtN,3.97636724779743e-08
eluent.B.acetone,4.489983501014885e-08
ATS5pe,4.6538862815033445e-08
ATS6dv,5.1175642784562215e-08
nG12HRing,8.914234306614532e-08
NddsN,9.061725857167219e-08
n8FHRing,1.0779657346731558e-07
AATSC0dv,1.1902739115400226e-07
GATS3Z,1.198145696837405e-07
Xch-4d,1.2487248609444057e-07
n12FARing,1.255419772981485e-07
nG12Ring,1.3037733471478463e-07
NdssS,1.4090654464433624e-07
NddssS,1.4297440419771753e-07
n10ARing,1.460449454830995e-07
n9FaRing,1.6156609828491334e-07
NsF,1.6337319343577572e-07
SRW06,1.683426759212757e-07
AATS0se,1.7067706419614594e-07
nG12AHRing,1.8272975389459906e-07
MWC06,1.9376989887623027e-07
n5aHRing,1.9747319374421521e-07
MWC02,1.9758913690007262e-07
nFaRing,2.0259614269182296e-07
nAtom,2.110236468118136e-07
AATS1dv,2.163778366095874e-07
n11FAHRing,2.205072057697398e-07
n4ARing,2.2423799633693174e-07
n12Ring,2.2429541227698967e-07
C1SP2,2.3260998750140525e-07
Xch-4dv,2.351604295044822e-07
Xc-4d,2.375603171521183e-07
ATS4dv,2.5863578697708777e-07
nO,2.58868373870149e-07
ATS1v,2.6481379948777373e-07
n10FARing,2.9270092549125993e-07
ATS7pe,2.9317191748189434e-07
ATS1se,2.972426172124891e-07
ATS4m,3.03440106373936e-07
AATSC2m,3.034856575351297e-07
PEOE_VSA1,3.222590576559652e-07
SLogP_sum_GATS4d,3.572298647243517e-07
SdNH,3.754200631955404e-07
SMR_VSA4,4.140065477510266e-07
ATS6are,4.3531223395502917e-07
C2SP2,4.501133341674145e-07
n5ARing,4.510354850779073e-07
nFARing,4.953314144242119e-07
AXp-1dv,4.974696720875041e-07
TopoShapeIndex,5.011154524818366e-07
NssNH,5.020777238190152e-07
ATS8dv,5.089022894739711e-07
StsC,5.126815521065004e-07
nBonds,5.353984472308837e-07
Mm,5.443146937276523e-07
GATS2Z,5.511694569385224e-07
n9FAHRing,5.564801281938807e-07
GATS2m,5.66476990685686e-07
piPC4,5.852114459401793e-07
ATS5Z,5.991979353579465e-07
