feature,mean_importance
n9FARing,2.23715428293381e-06
ATS8i,2.256158137331574e-06
SsNH2,2.285131943203199e-06
nX,2.2865812660988367e-06
SddssS,2.3104936502792335e-06
AATS3p,2.311466715271271e-06
ABCGG,2.3317683226883184e-06
Xp-3d,2.421552607326065e-06
ATS5se,2.429262479450734e-06
ATS5Z,2.4304680252609618e-06
AATS1dv,2.443327806401878e-06
AXp-1d,2.4469566064650066e-06
SaaS,2.4786546289649533e-06
ATSC4v,2.5154793900780506e-06
AATS4d,2.5171391408701503e-06
NssCH2,2.5202074502328995e-06
Xpc-6dv,2.528895383307854e-06
NdO,2.582519715072732e-06
ATSC2se,2.633038266479457e-06
SlogP_VSA2,2.6361526132618295e-06
GATS4v,2.655330115212181e-06
AATS3are,2.7727049525103597e-06
nAtom,2.7734014425103216e-06
ATS3d,2.7747640008001297e-06
ATSC4dv,2.81230821198835e-06
MPC4,2.836020310040613e-06
ATS2dv,2.837607139350839e-06
ATS3dv,2.8543860846376617e-06
ATS5are,2.9645004073952133e-06
eluent.A.acetic,2.9667781855668464e-06
MPC6,3.089331600730251e-06
GATS2v,3.1045214619689586e-06
Xc-6d,3.237445546833053e-06
TMPC10,3.2530597423642908e-06
VAdjMat,3.256559735134983e-06
ATS8dv,3.2705373848333427e-06
ATS4se,3.2842553216469105e-06
ATS2se,3.4264678374296836e-06
MWC10,3.466802473972054e-06
Kier1,3.514994186997345e-06
AATSC2are,3.5914226779580095e-06
Xp-2dv,3.593490417878355e-06
nBondsKS,3.5997675362100733e-06
MATS2m,3.6596448590282827e-06
NssO,3.6767767009177575e-06
n6Ring,3.701576318800113e-06
AATSC1i,3.7176420669171246e-06
SsSH,3.775425476415517e-06
ATSC8v,3.828285703898812e-06
ATS8p,3.8701777713854616e-06
ATS7are,3.894100030060222e-06
MATS3p,3.9140386194714235e-06
ATS6Z,3.961867529895819e-06
FCSP3,3.9720583557623266e-06
EState_VSA1,3.973385581486442e-06
AATSC0se,4.016638719765361e-06
MATS4v,4.071336244696258e-06
AATS2v,4.081963739619842e-06
n11FARing,4.101677884781659e-06
AATSC0d,4.104102530265875e-06
SssssN,4.104375311102942e-06
ATSC8i,4.205112269610976e-06
ATS5pe,4.223340070083626e-06
ATSC8are,4.230114526809076e-06
MATS1d,4.246742386974142e-06
n6AHRing,4.256187505214705e-06
SlogP_VSA3,4.263294980658573e-06
Xc-5dv,4.272135273509365e-06
piPC4,4.291056609431569e-06
AATSC4p,4.3234305898135445e-06
WPath,4.3503684865068596e-06
AATS0v,4.356721196367274e-06
AATS4m,4.369299188122355e-06
JGI4,4.389669517776851e-06
CIC5,4.4136792153383866e-06
AATS2dv,4.464194449015947e-06
GATS3d,4.528789121653349e-06
ATS0dv,4.612016579359172e-06
SMR_VSA4,4.621847833946678e-06
GGI3,4.634358634794493e-06
Xpc-5d,4.639770610914782e-06
Mpe,4.646876182380285e-06
AATS1p,4.670272995846523e-06
ATSC8pe,4.7356247434527e-06
ATS6m,4.758161799192726e-06
ATS0p,4.822708315946767e-06
MW,4.850929394412725e-06
AATS3dv,4.853935567525683e-06
MATS2p,4.8553887184613755e-06
Xp-5d,4.856702593842004e-06
ATS5m,4.871780204435128e-06
GGI10,4.881025926749619e-06
AATS4i,4.900301119508711e-06
ATSC7i,4.978541769736638e-06
n10FHRing,4.981223418167036e-06
ATS6se,4.989006710701735e-06
ZMIC0,5.05236863552784e-06
naHRing,5.0733383414131025e-06
SsCl,5.125364656045472e-06
eluent.A.nh4f,5.147343608281983e-06
ATS3v,5.158256221186875e-06
ATS0v,5.202141329866891e-06
ATS3pe,5.202385714938359e-06
MATS1Z,5.2232581455451645e-06
ATS5p,5.272314001166304e-06
ATSC2pe,5.289095225204619e-06
AATS2i,5.293804764045992e-06
C2SP3,5.351116324229122e-06
Sm,5.356088008880329e-06
BertzCT,5.3587585984405005e-06
ATSC1se,5.369255014276743e-06
SMR_VSA6,5.3866600837333516e-06
MPC5,5.460466244589391e-06
SIC2,5.469189347731464e-06
ATSC3m,5.540762055897003e-06
RotRatio,5.57213170151033e-06
ATS8m,5.596971456538809e-06
NsssCH,5.631902466774527e-06
ATSC6m,5.675708356136199e-06
Mare,5.720483781129597e-06
ATSC6dv,5.732858570830015e-06
ATSC6Z,5.73601260198094e-06
ATS7d,5.759855821948611e-06
MATS4m,5.768785038738882e-06
TIC4,5.837338870828216e-06
JGI1,5.852260998726998e-06
ATSC3p,5.85723210070532e-06
AATS4pe,5.941300345443934e-06
AATSC1p,5.952742018638848e-06
NaaCH,5.998455734987536e-06
MATS3d,6.002268243037595e-06
AATS4are,6.026214776769408e-06
AATS1m,6.0317509900955494e-06
CIC4,6.094026513661643e-06
n10FaHRing,6.0963889135132525e-06
ATSC6are,6.121343860208961e-06
GATS2Z,6.153083105189978e-06
GATS1se,6.157462513092967e-06
Xp-7dv,6.1649137152845064e-06
AATS3se,6.185845059804469e-06
MATS1i,6.19856239657858e-06
SlogP_VSA4,6.200584828933327e-06
MATS1p,6.232542023787337e-06
SdsCH,6.238059958970852e-06
SIC4,6.242544687270167e-06
eluent.B.nh4bicarb,6.261545781693478e-06
ATS2i,6.307567014536205e-06
AATSC1pe,6.3267655979117045e-06
MATS2are,6.345785504443483e-06
ATSC2v,6.359929648199099e-06
Xp-6dv,6.372310885650271e-06
GATS3are,6.396217443742532e-06
GATS1pe,6.451592721318147e-06
GATS2se,6.5109544600568465e-06
ATS1p,6.563956315091147e-06
SlogP_VSA10,6.643149007235383e-06
hydrophobicity,6.6966448741490044e-06
AATSC3are,6.7326701589032026e-06
GGI6,6.7466769292130396e-06
AATSC3v,6.766501692572705e-06
ABC,6.930932762153844e-06
PEOE_VSA10,7.004549304789713e-06
GATS3p,7.030260607059947e-06
ATSC3Z,7.103808111171439e-06
ATSC2i,7.127876416015977e-06
SaaO,7.127994710438151e-06
ZMIC4,7.129935229095632e-06
IC4,7.138895609715232e-06
AATSC1v,7.185001716401071e-06
Mp,7.190813064485938e-06
AATSC4i,7.24555481110209e-06
MATS3m,7.299549882768333e-06
IC5,7.3140177687203675e-06
ATSC7pe,7.3163089605499455e-06
AATSC3Z,7.332379119143456e-06
EState_VSA3,7.397758399754674e-06
ATSC5v,7.428953021095669e-06
ATSC1p,7.48569244949579e-06
SlogP_VSA7,7.496747616248401e-06
ATSC7se,7.600476178533811e-06
ATS5i,7.603940363182845e-06
SIC5,7.613092008103457e-06
AATSC4pe,7.625021423769696e-06
Xp-4dv,7.68450548702792e-06
ATSC6v,7.705129433480466e-06
ATSC5i,7.76596651815122e-06
ATSC6p,7.775311887795334e-06
AATSC3m,7.786512700621012e-06
